ticker,fiscal_year,filing_date,accession_number,source_file,total_net_revenue,net_interest_income,noninterest_revenue,total_noninterest_expense,pre_provision_profit,provision_credit_losses,income_before_tax,net_income,eps_basic,eps_diluted,efficiency_ratio,total_assets,total_liabilities,total_equity,total_loans_gross,allowance_loan_losses,net_loans,total_deposits,long_term_debt,short_term_borrowings,trading_assets,investment_securities_afs,investment_securities_htm,cash_due_from_banks,tier1_capital,tier1_capital_ratio,total_capital_ratio,tier1_leverage_ratio,cet1_ratio,rwa,tbvps,bvps,roe,roa,rotce,nim,net_charge_offs,net_charge_off_rate,npl,npa,npl_ratio,allowance_coverage_ratio,derivatives_notional,level1_assets,level2_assets,level3_assets,level3_pct_assets,var_value
BAC,1997,1998-03-13,0000950168-98-000724,1998-03-13_0000950168-98-000724.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,1998,1999-03-22,0000950168-99-000782,1999-03-22_0000950168-99-000782.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,1999,2000-03-20,0000950168-00-000621,2000-03-20_0000950168-00-000621.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,2001,2002-03-27,0000950168-02-000551,2002-03-27_0000950168-02-000551.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,2002,2003-03-03,0001021408-03-003673,2003-03-03_0001021408-03-003673.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,2003,2004-03-01,0001193125-04-032312,2004-03-01_0001193125-04-032312.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,2004,2005-03-01,0001193125-05-039878,2005-03-01_0001193125-05-039878.htm,48894.0,28797.0,20097.0,27027.0,21867.0,2769.0,21221.0,14143.0,,3.69,53.23,1044660.0,1010812.0,,472645.0,6163.0,32344.0,551559.0,93330.0,227558.0,,107107.0,153.0,28511.0,,,,,,,,,19.89,1.35,,,3113.0,9.624659906010388,88.0,,0.2720751916893396,7003.409090909091,,,,,,
BAC,2005,2006-03-16,0001193125-06-056053,2006-03-16_0001193125-06-056053.htm,56766.0,31156.0,25610.0,28681.0,28085.0,4014.0,25155.0,16886.0,,4.04,49.66,1291795.0,1190571.0,,537218.0,565737.0,71078.0,632432.0,101338.0,116269.0,,134490.0,283.0,33199.0,,,,,,,,,21.31,1.3,,,4562.0,6.418301021413096,,,,,,,,,,
BAC,2006,2007-02-28,0001193125-07-042036,2007-02-28_0001193125-07-042036.htm,73023.0,34591.0,38432.0,35597.0,37426.0,68.0,31973.0,21133.0,,4.59,46.86,1459737.0,1324465.0,,652417.0,69.0,145779.0,672995.0,146000.0,141300.0,,53446.0,7.0,34052.0,,,,,,,,,17.7,1.44,,,4539.0,3.113617187660774,1856.0,,1.27316005734708,3.7176724137931036,,,,,,
BAC,2007,2008-02-28,0001193125-08-041665,2008-02-28_0001193125-08-041665.htm,66319.0,34433.0,31886.0,37010.0,29309.0,58.0,20924.0,14982.0,,3.3,53.77,1715746.0,1568943.0,,776154.0,58.0,177665.0,717182.0,197508.0,191089.0,,16125.0,,33091.0,,,,,,,,,14.94,0.94,,,6480.0,3.6473137646694624,,,,,,,,,,
BAC,2008,2009-02-27,0001193125-09-041126,2009-02-27_0001193125-09-041126.htm,72782.0,45360.0,27422.0,41529.0,31253.0,75.0,4428.0,4008.0,,0.55,54.88,1817943.0,1640891.0,,910878.0,75.0,69574.0,831144.0,268292.0,158056.0,,51407.0,,45354.0,,,,,,,,,5.78,0.22,,,16231.0,23.329117198953632,18232.0,,26.20519159456119,0.411364633611233,,,,46.0,0.0025303323591553753,
BAC,2009,2010-02-26,0001193125-10-041666,2010-02-26_0001193125-10-041666.htm,119643.0,47109.0,72534.0,66713.0,52930.0,76.0,4360.0,6276.0,,,55.16,2223299.0,1991855.0,,900128.0,76.0,21257.0,991611.0,438521.0,69524.0,,791.0,,196237.0,,,,,,,,,10.55,0.26,,,33688.0,158.47955967446018,,,,,,,,,,
BAC,2010,2011-02-25,0000950123-11-018743,2011-02-25_0000950123-11-018743.htm,110220.0,51523.0,58697.0,83108.0,27112.0,96.0,2149.0,2238.0,,,74.61,2264909.0,2036661.0,,3.6,97.0,2550.0,1010430.0,448431.0,59962.0,,15873.0,,174621.0,,11.24,15.77,7.21,,1456000.0,,,5.58,0.42,,,34334.0,1.49,,,,,,,,29217.0,1.289985602070547,
BAC,2011,2012-02-23,0000070858-12-000155,2012-02-23_0000070858-12-000155.htm,94426.0,45588.0,48838.0,77090.0,17336.0,108.0,1883.0,1446.0,,0.32,85.01,2129046.0,1898945.0,,926200.0,109.0,6059.0,1033041.0,372265.0,35698.0,,11386.0,,112616.0,,12.4,9.86,7.53,,1284.0,,,,0.06,,,20833.0,,,,,,,,,17744.0,0.8334249236512504,
BAC,2012,2013-02-28,0000070858-13-000097,2013-02-28_0000070858-13-000097.htm,84235.0,41557.0,42678.0,72093.0,12142.0,109.0,3973.0,4188.0,,0.25,85.59,2209974.0,1973018.0,,907819.0,109.0,6457.0,1105261.0,275585.0,30731.0,,26336.0,,115739.0,,12.89,11.06,7.37,,1206.0,,,,0.19,,,4632.0,71.73610035620257,,,,,,,,13865.0,0.6273829465867019,
BAC,2013,2014-02-25,0000070858-14-000012,2014-02-25_0000070858-14-000012.htm,89801.0,43124.0,46677.0,69214.0,20587.0,104.0,17031.0,11431.0,,0.9,77.07,2102273.0,1869588.0,,928233.0,104.0,34256.0,1119271.0,249674.0,45999.0,,839.0,,109014.0,,12.44,11.19,7.86,,1298.0,,,,0.53,,,3376.0,9.85520784680056,,,,,,,,10697.0,0.5088302042598654,21.0
BAC,2014,2015-02-25,0000070858-15-000008,2015-02-25_0000070858-15-000008.htm,85116.0,40821.0,44295.0,75117.0,9999.0,95.0,7724.0,4833.0,,0.36,88.25,2104534.0,1861063.0,,881391.0,95.0,22635.0,1118936.0,243139.0,31172.0,,35.0,837.0,138589.0,,12.3,16.5,8.2,,1262.0,,,,0.23,,,2638.0,11.654517340402032,,,,,,,,6597.0,0.3134660689729888,
BAC,2015,2016-02-24,0000070858-16-000137,2016-02-24_0000070858-16-000137.htm,83416.0,40160.0,43256.0,57192.0,26224.0,88.0,23063.0,15888.0,,1.31,68.56,2144316.0,1888111.0,,903001.0,88.0,52626.0,1197259.0,236764.0,28098.0,,105.0,2507.0,159353.0,,11.6,15.7,8.6,11.6,1403.0,,,,0.74,,,2314.0,4.397066089005435,,,,,,,,1191.0,0.05554218687917266,
BAC,2016,2017-02-23,0000070858-17-000013,2017-02-23_0000070858-17-000013.htm,83701.0,41096.0,42605.0,54951.0,28750.0,75.0,25153.0,17906.0,,1.5,65.65,2187702.0,1920862.0,6.71,906683.0,75.0,31194.0,1260934.0,216823.0,23944.0,,227.0,3630.0,147738.0,,12.1,16.3,8.9,12.1,1399.0,,,,0.82,,,3821.0,12.24915047765596,,,,,,,,,,
BAC,2017,2018-02-22,0000070858-18-000009,2018-02-22_0000070858-18-000009.htm,87352.0,44667.0,42685.0,54743.0,32609.0,72.0,29213.0,18232.0,,1.56,62.67,2281234.0,2014088.0,,936749.0,72.0,41104.0,1309545.0,227402.0,32666.0,,67.0,3348.0,157434.0,,11.9,15.9,8.6,11.9,1434.0,,,,0.8,,,3979.0,9.68032308291164,,,,,,,,,,
BAC,2018,2019-02-26,0000070858-19-000012,2019-02-26_0000070858-19-000012.htm,91247.0,47432.0,43815.0,53381.0,37866.0,67.0,34584.0,28147.0,,2.61,58.5,2354507.0,2089182.0,,946895.0,67.0,31292.0,1381476.0,229340.0,20189.0,,52.0,6170.0,177404.0,,11.6,15.4,8.4,11.6,1437.0,,,,1.21,,,3763.0,12.025437811581236,,,,,,,,,,
BAC,2019,2020-02-19,0000070858-20-000011,2020-02-19_0000070858-20-000011.htm,91244.0,48891.0,42353.0,54900.0,36344.0,68.0,32754.0,27430.0,,2.75,60.17,2434079.0,2169269.0,,983426.0,68.0,46808.0,1434803.0,240856.0,24204.0,,102.0,5535.0,161560.0,,11.2,14.8,7.9,11.2,24.6,,,,1.14,,,3648.0,7.7935395658861735,,,,,,,,,,
BAC,2020,2021-02-24,0000070858-21-000023,2021-02-24_0000070858-21-000023.htm,85528.0,43360.0,42168.0,55213.0,30315.0,11320.0,18995.0,17894.0,,,65.97,2819627.0,2546703.0,,927861.0,76.0,36571.0,1632998.0,262934.0,19321.0,,1701.0,5737.0,380463.0,,13.5,14.9,7.7,11.9,27.4,,,,0.67,,,4121.0,11.268491427633917,,,,,,,,,,
BAC,2021,2022-02-22,0000070858-22-000062,2022-02-22_0000070858-22-000062.htm,89113.0,42934.0,46179.0,59731.0,29382.0,-4594.0,33976.0,31978.0,,,64.41,3169495.0,2899429.0,,979124.0,73.0,-58039.0,1914286.0,280117.0,23753.0,,1016.0,6416.0,348221.0,,13.5,14.4,7.6,10.6,26.9,,,,1.05,,,2243.0,,,,,,,,,,,
